file_label                                      assembly_10 assembly_10 assembly_10 assembly_10
Genome mining tool                                antiSMASH     DeepBGC       GECCO       PRISM
# BGCs filtered by length                                 0           0           0           0
# BGCs                                                    6          40           6           4
# BGCs (NRPS)                                             1           1           1           1
# BGCs (PKS)                                              1          10           1           2
# BGCs (RiPP)                                             2           3           2           1
# BGCs (terpene)                                          2           3           1           0
# BGCs (saccharide)                                       0           1           0           0
# BGCs (hybrid)                                           0           2           0           0
# BGCs (unknown)                                          0          20           1           0
# BGCs (complete)                                         2          35           5           4
# BGCs (incomplete)                                       4           5           1           0
# BGCs (NRPS, complete)                                   0           0           1           1
# BGCs (NRPS, incomplete)                                 1           1           0           0
# BGCs (PKS, complete)                                    0           9           0           2
# BGCs (PKS, incomplete)                                  1           1           1           0
# BGCs (RiPP, complete)                                   1           2           2           1
# BGCs (RiPP, incomplete)                                 1           1           0           0
# BGCs (terpene, complete)                                1           2           1           0
# BGCs (terpene, incomplete)                              1           1           0           0
# BGCs (saccharide, complete)                             0           1           0           0
# BGCs (hybrid, complete)                                 0           2           0           0
# BGCs (unknown, complete)                                0          19           1           0
# BGCs (unknown, incomplete)                              0           1           0           0
Total BGC span in bp                                 175878      382449      146483       52304
Total BGC span in bp (NRPS)                           52045       37111       40549       19460
Total BGC span in bp (PKS)                            39844       93339       19843       27070
Total BGC span in bp (RiPP)                           34522       28194       23878        5774
Total BGC span in bp (terpene)                        49467       33103       21182           0
Total BGC span in bp (saccharide)                         0       27939           0           0
Total BGC span in bp (hybrid)                             0       13640           0           0
Total BGC span in bp (unknown)                            0      149123       41031           0
Total BGC span in bp (complete)                       52470      245686      126640       52304
Total BGC span in bp (incomplete)                    123408      136763       19843           0
Total BGC span in bp (NRPS, complete)                     0           0       40549       19460
Total BGC span in bp (NRPS, incomplete)               52045       37111           0           0
Total BGC span in bp (PKS, complete)                      0       73496           0       27070
Total BGC span in bp (PKS, incomplete)                39844       19843       19843           0
Total BGC span in bp (RiPP, complete)                 24559       24425       23878        5774
Total BGC span in bp (RiPP, incomplete)                9963        3769           0           0
Total BGC span in bp (terpene, complete)              27911        2769       21182           0
Total BGC span in bp (terpene, incomplete)            21556       30334           0           0
Total BGC span in bp (saccharide, complete)               0       27939           0           0
Total BGC span in bp (hybrid, complete)                   0       13640           0           0
Total BGC span in bp (unknown, complete)                  0      103417       41031           0
Total BGC span in bp (unknown, incomplete)                0       45706           0           0
Mean BGC length in bp                               29313.0      9561.2     24413.8     13076.0
Mean BGC length in bp (NRPS)                        52045.0     37111.0     40549.0     19460.0
Mean BGC length in bp (PKS)                         39844.0      9333.9     19843.0     13535.0
Mean BGC length in bp (RiPP)                        17261.0      9398.0     11939.0      5774.0
Mean BGC length in bp (terpene)                     24733.5     11034.3     21182.0         0.0
Mean BGC length in bp (saccharide)                      0.0     27939.0         0.0         0.0
Mean BGC length in bp (hybrid)                          0.0      6820.0         0.0         0.0
Mean BGC length in bp (unknown)                         0.0      7456.1     41031.0         0.0
Mean BGC length in bp (complete)                    26235.0      7019.6     25328.0     13076.0
Mean BGC length in bp (incomplete)                  30852.0     27352.6     19843.0         0.0
Mean BGC length in bp (NRPS, complete)                  0.0         0.0     40549.0     19460.0
Mean BGC length in bp (NRPS, incomplete)            52045.0     37111.0         0.0         0.0
Mean BGC length in bp (PKS, complete)                   0.0      8166.2         0.0     13535.0
Mean BGC length in bp (PKS, incomplete)             39844.0     19843.0     19843.0         0.0
Mean BGC length in bp (RiPP, complete)              24559.0     12212.5     11939.0      5774.0
Mean BGC length in bp (RiPP, incomplete)             9963.0      3769.0         0.0         0.0
Mean BGC length in bp (terpene, complete)           27911.0      1384.5     21182.0         0.0
Mean BGC length in bp (terpene, incomplete)         21556.0     30334.0         0.0         0.0
Mean BGC length in bp (saccharide, complete)            0.0     27939.0         0.0         0.0
Mean BGC length in bp (hybrid, complete)                0.0      6820.0         0.0         0.0
Mean BGC length in bp (unknown, complete)               0.0      5443.0     41031.0         0.0
Mean BGC length in bp (unknown, incomplete)             0.0     45706.0         0.0         0.0
Mean BGC length in genes                               23.5         8.6        19.3         6.5
Mean BGC length in genes (NRPS)                        38.0        25.0        25.0         8.0
Mean BGC length in genes (PKS)                         25.0         8.7         6.0         7.0
Mean BGC length in genes (RiPP)                        15.0         9.7        11.5         4.0
Mean BGC length in genes (terpene)                     24.0        10.0        20.0         0.0
Mean BGC length in genes (saccharide)                   0.0        24.0         0.0         0.0
Mean BGC length in genes (hybrid)                       0.0         6.0         0.0         0.0
Mean BGC length in genes (unknown)                      0.0         6.8        42.0         0.0
Mean BGC length in genes (complete)                    24.5         6.9        22.0         6.5
Mean BGC length in genes (incomplete)                  23.0        20.2         6.0         0.0
Mean BGC length in genes (NRPS, complete)               0.0         0.0        25.0         8.0
Mean BGC length in genes (NRPS, incomplete)            38.0        25.0         0.0         0.0
Mean BGC length in genes (PKS, complete)                0.0         9.0         0.0         7.0
Mean BGC length in genes (PKS, incomplete)             25.0         6.0         6.0         0.0
