sequence_id	interval_start	interval_end	assembly_10	assembly_10	assembly_10	assembly_10
			antiSMASH	DeepBGC	GECCO	PRISM
CONTIG_1	1144	42174	N/A	1144 - 9307 (Unknown product); 10407 - 11363 (Unknown product); 18485 - 33357 (Unknown product); 37614 - 39812 (Unknown product)	1144 - 42174 (Unknown product)	N/A
CONTIG_1	46064	46201	N/A	46064 - 46201 (Unknown product)	N/A	N/A
CONTIG_1	54103	99808	N/A	54103 - 99808 (Unknown product)	N/A	N/A
CONTIG_2	1	39844	1 - 39844 (PKS)	2 - 19844 (PKS)	2 - 19844 (PKS)	3971 - 28480 (PKS)
CONTIG_2	64321	100107	64321 - 92231 (Terpene)	69774 - 100107 (Terpene)	68895 - 90076 (Terpene)	N/A
CONTIG_3	11762	22414	N/A	11762 - 22414 (PKS)	N/A	N/A
CONTIG_3	42217	42780	N/A	42217 - 42780 (Unknown product)	N/A	N/A
CONTIG_3	46000	71098	46540 - 71098 (RiPP)	46000 - 47883 (Terpene); 48691 - 49716 (PKS); 51778 - 63234 (RiPP)	50819 - 67527 (RiPP)	55325 - 61098 (RiPP)
CONTIG_4	1241	10915	N/A	1241 - 10915 (Unknown product)	N/A	N/A
CONTIG_4	16163	30553	N/A	16163 - 30553 (PKS)	N/A	N/A
CONTIG_4	31499	40506	N/A	31499 - 40506 (PKS)	N/A	N/A
CONTIG_4	45005	46894	N/A	45005 - 46894 (Unknown product)	N/A	N/A
CONTIG_4	48607	49389	N/A	48607 - 49389 (Unknown product)	N/A	N/A
CONTIG_4	53990	54874	N/A	53990 - 54874 (Terpene)	N/A	N/A
CONTIG_4	64811	66106	N/A	64811 - 66106 (Unknown product)	N/A	N/A
CONTIG_4	69997	71666	N/A	69997 - 71666 (Unknown product)	N/A	N/A
CONTIG_5	372	28310	N/A	372 - 28310 (Saccharide)	N/A	N/A
CONTIG_5	30869	36131	N/A	30869 - 36131 (PKS)	N/A	N/A
CONTIG_5	37904	45051	N/A	37904 - 45051 (Unknown product)	N/A	N/A
CONTIG_6	1	52045	1 - 52045 (NRPS)	2 - 37112 (NRPS); 38723 - 41731 (Unknown product); 43145 - 43687 (Unknown product); 48568 - 49221 (Unknown product)	3139 - 43687 (NRPS)	13589 - 33048 (NRPS)
CONTIG_6	86587	90495	N/A	86587 - 90495 (PKS)	N/A	86587 - 89146 (PKS)
CONTIG_7	1	37234	1 - 21556 (Terpene)	119 - 12174 (PKS, Terpene); 12494 - 17154 (Unknown product); 18856 - 37234 (Unknown product)	N/A	N/A
CONTIG_7	80564	99892	N/A	80564 - 99892 (PKS)	N/A	N/A
CONTIG_8	35723	48690	N/A	35723 - 48690 (RiPP)	38006 - 45174 (RiPP)	N/A
CONTIG_8	90995	100957	90995 - 100957 (RiPP)	97188 - 100956 (RiPP)	N/A	N/A
CONTIG_9	2545	8267	N/A	2545 - 8267 (Unknown product)	N/A	N/A
CONTIG_9	16900	22512	N/A	16900 - 22512 (PKS)	N/A	N/A
CONTIG_9	46103	47686	N/A	46103 - 47686 (PKS, Terpene)	N/A	N/A
CONTIG_9	91119	95422	N/A	91119 - 95422 (PKS)	N/A	N/A
CONTIG_10	43020	64110	N/A	43020 - 64110 (Unknown product)	N/A	N/A
