file_label	assembly_10	assembly_10	assembly_10	assembly_10
Genome mining tool	antiSMASH	DeepBGC	GECCO	PRISM
CONTIG_1	N/A	1144 - 9307 (Unknown product)	N/A	N/A
CONTIG_1	N/A	N/A	1144 - 42174 (Unknown product)	N/A
CONTIG_1	N/A	10407 - 11363 (Unknown product)	N/A	N/A
CONTIG_1	N/A	18485 - 33357 (Unknown product)	N/A	N/A
CONTIG_1	N/A	37614 - 39812 (Unknown product)	N/A	N/A
CONTIG_1	N/A	46064 - 46201 (Unknown product)	N/A	N/A
CONTIG_1	N/A	54103 - 99808 (Unknown product)	N/A	N/A
CONTIG_2	1 - 39844 (PKS)	N/A	N/A	N/A
CONTIG_2	N/A	2 - 19844 (PKS)	2 - 19844 (PKS)	N/A
CONTIG_2	N/A	N/A	N/A	3971 - 28480 (PKS)
CONTIG_2	64321 - 92231 (Terpene)	N/A	N/A	N/A
CONTIG_2	N/A	N/A	68895 - 90076 (Terpene)	N/A
CONTIG_2	N/A	69774 - 100107 (Terpene)	N/A	N/A
CONTIG_3	N/A	11762 - 22414 (PKS)	N/A	N/A
CONTIG_3	N/A	42217 - 42780 (Unknown product)	N/A	N/A
CONTIG_3	N/A	46000 - 47883 (Terpene)	N/A	N/A
CONTIG_3	46540 - 71098 (RiPP)	N/A	N/A	N/A
CONTIG_3	N/A	48691 - 49716 (PKS)	N/A	N/A
CONTIG_3	N/A	N/A	50819 - 67527 (RiPP)	N/A
CONTIG_3	N/A	51778 - 63234 (RiPP)	N/A	N/A
CONTIG_3	N/A	N/A	N/A	55325 - 61098 (RiPP)
CONTIG_4	N/A	1241 - 10915 (Unknown product)	N/A	N/A
CONTIG_4	N/A	16163 - 30553 (PKS)	N/A	N/A
CONTIG_4	N/A	31499 - 40506 (PKS)	N/A	N/A
CONTIG_4	N/A	45005 - 46894 (Unknown product)	N/A	N/A
CONTIG_4	N/A	48607 - 49389 (Unknown product)	N/A	N/A
CONTIG_4	N/A	53990 - 54874 (Terpene)	N/A	N/A
CONTIG_4	N/A	64811 - 66106 (Unknown product)	N/A	N/A
CONTIG_4	N/A	69997 - 71666 (Unknown product)	N/A	N/A
CONTIG_5	N/A	372 - 28310 (Saccharide)	N/A	N/A
CONTIG_5	N/A	30869 - 36131 (PKS)	N/A	N/A
CONTIG_5	N/A	37904 - 45051 (Unknown product)	N/A	N/A
CONTIG_6	1 - 52045 (NRPS)	N/A	N/A	N/A
CONTIG_6	N/A	2 - 37112 (NRPS)	N/A	N/A
CONTIG_6	N/A	N/A	3139 - 43687 (NRPS)	N/A
CONTIG_6	N/A	N/A	N/A	13589 - 33048 (NRPS)
CONTIG_6	N/A	38723 - 41731 (Unknown product)	N/A	N/A
CONTIG_6	N/A	43145 - 43687 (Unknown product)	N/A	N/A
CONTIG_6	N/A	48568 - 49221 (Unknown product)	N/A	N/A
CONTIG_6	N/A	N/A	N/A	86587 - 89146 (PKS)
CONTIG_6	N/A	86587 - 90495 (PKS)	N/A	N/A
CONTIG_7	1 - 21556 (Terpene)	N/A	N/A	N/A
CONTIG_7	N/A	119 - 12174 (PKS, Terpene)	N/A	N/A
CONTIG_7	N/A	12494 - 17154 (Unknown product)	N/A	N/A
CONTIG_7	N/A	18856 - 37234 (Unknown product)	N/A	N/A
CONTIG_7	N/A	80564 - 99892 (PKS)	N/A	N/A
CONTIG_8	N/A	35723 - 48690 (RiPP)	N/A	N/A
CONTIG_8	N/A	N/A	38006 - 45174 (RiPP)	N/A
CONTIG_8	90995 - 100957 (RiPP)	N/A	N/A	N/A
CONTIG_8	N/A	97188 - 100956 (RiPP)	N/A	N/A
CONTIG_9	N/A	2545 - 8267 (Unknown product)	N/A	N/A
CONTIG_9	N/A	16900 - 22512 (PKS)	N/A	N/A
CONTIG_9	N/A	46103 - 47686 (PKS, Terpene)	N/A	N/A
CONTIG_9	N/A	91119 - 95422 (PKS)	N/A	N/A
CONTIG_10	N/A	43020 - 64110 (Unknown product)	N/A	N/A
